epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3635.25,1.61794,1.0302,0.71916,0.54347,0.26228,0.28043,0.13106,1.4129,1.11896,0.61395,0.005842,0.005842,0.005842
44,3718.98,1.60058,0.98154,0.72249,0.56111,0.26803,0.28714,0.13749,1.3892,1.06774,0.61091,0.005743,0.005743,0.005743
45,3802.78,1.63762,1.03144,0.73833,0.54498,0.26228,0.27533,0.13127,1.40616,1.10379,0.617,0.005644,0.005644,0.005644
46,3886.53,1.61635,0.99783,0.7152,0.54463,0.2618,0.27964,0.13196,1.39611,1.05446,0.61516,0.005545,0.005545,0.005545
47,3970.57,1.61642,1.02566,0.73277,0.52259,0.26548,0.27929,0.13033,1.38937,1.10265,0.6134,0.005446,0.005446,0.005446
48,4054.36,1.61657,1.0026,0.72634,0.54194,0.26484,0.28134,0.13419,1.39178,1.13235,0.61356,0.005347,0.005347,0.005347
49,4138.07,1.60066,0.98649,0.731,0.553,0.2629,0.28119,0.13265,1.40108,1.097,0.61564,0.005248,0.005248,0.005248
50,4221.73,1.60392,1.0172,0.7277,0.54952,0.26675,0.28192,0.13609,1.39204,1.09102,0.61341,0.005149,0.005149,0.005149
51,4305.2,1.62486,1.0104,0.72242,0.59655,0.26228,0.28557,0.13481,1.40627,1.05005,0.61498,0.00505,0.00505,0.00505
52,4388.72,1.57747,0.96421,0.71686,0.60636,0.25718,0.28589,0.13473,1.41267,1.10997,0.61945,0.004951,0.004951,0.004951
53,4472.62,1.54746,0.93553,0.70971,0.58075,0.25909,0.28673,0.13561,1.41627,1.13434,0.61814,0.004852,0.004852,0.004852
54,4556.95,1.5838,0.97111,0.71581,0.55911,0.26463,0.2845,0.13373,1.41083,1.11556,0.61896,0.004753,0.004753,0.004753
55,4640.6,1.56536,0.98583,0.72824,0.56699,0.26484,0.28603,0.13488,1.3983,1.08042,0.61759,0.004654,0.004654,0.004654
56,4724.48,1.5756,0.96647,0.7116,0.5561,0.26803,0.28638,0.13528,1.38976,1.09209,0.61832,0.004555,0.004555,0.004555
57,4808.45,1.54103,0.97168,0.72621,0.55616,0.26675,0.28457,0.13578,1.38646,1.08811,0.61839,0.004456,0.004456,0.004456
58,4892.12,1.55339,0.96461,0.71958,0.54832,0.26292,0.28276,0.13581,1.38385,1.0887,0.61875,0.004357,0.004357,0.004357
59,4975.95,1.52416,0.94681,0.72177,0.55871,0.26165,0.28174,0.13493,1.39378,1.10437,0.61827,0.004258,0.004258,0.004258
