epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7361.91,1.46936,2.05856,1.40771,0.77453,0.26427,0.31755,0.21441,0.78549,1.13158,0.71182,0.0670029,0.000333304,0.000333304
2,7366.97,1.20955,1.15683,1.18721,0.76211,0.28354,0.33063,0.2241,0.75073,1.16687,0.66552,0.0339963,0.000660038,0.000660038
3,14798.8,1.21761,1.14415,1.18733,0.75952,0.28641,0.32928,0.22257,0.75924,1.25083,0.67668,0.000983087,0.000980171,0.000980171
