epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18348.6,1.9718,1.34609,0.95053,0.71787,0.54164,0.60841,0.28578,1.87058,1.09315,1.03389,0.00492625,0.00492625,0.00492625
43,18786.1,1.95332,1.33147,0.9542,0.74477,0.53811,0.60964,0.28679,1.86686,1.07994,1.03639,0.0048025,0.0048025,0.0048025
44,19223.3,1.97107,1.38092,0.96173,0.73811,0.52599,0.60343,0.28758,1.86289,1.08297,1.03798,0.00467875,0.00467875,0.00467875
45,19660.6,1.89257,1.33549,0.93417,0.70892,0.54557,0.60758,0.28786,1.85866,1.07951,1.03484,0.004555,0.004555,0.004555
46,20097.3,1.92908,1.3352,0.94799,0.70801,0.56064,0.60916,0.28822,1.86353,1.07052,1.03632,0.00443125,0.00443125,0.00443125
47,20534.8,1.95639,1.3503,0.95941,0.71078,0.56436,0.60977,0.28789,1.86727,1.06388,1.03507,0.0043075,0.0043075,0.0043075
48,20971.6,1.9131,1.29678,0.93708,0.71076,0.56262,0.61044,0.28945,1.85941,1.05524,1.03322,0.00418375,0.00418375,0.00418375
49,21408.5,1.87775,1.2858,0.92964,0.72997,0.55941,0.61714,0.29144,1.85161,1.05496,1.0315,0.00406,0.00406,0.00406
50,21845.4,1.89346,1.29511,0.94469,0.73288,0.55687,0.61254,0.29027,1.84342,1.04553,1.02936,0.00393625,0.00393625,0.00393625
51,22282.7,1.88645,1.26475,0.93106,0.72798,0.56305,0.61509,0.29284,1.83712,1.04047,1.02807,0.0038125,0.0038125,0.0038125
52,22720.1,1.89388,1.26795,0.93552,0.71944,0.56808,0.6177,0.2923,1.84169,1.03842,1.02846,0.00368875,0.00368875,0.00368875
53,23157.4,1.89217,1.27022,0.93905,0.72562,0.56296,0.62078,0.2952,1.83833,1.03537,1.02669,0.003565,0.003565,0.003565
54,23594.3,1.90355,1.27869,0.93602,0.7336,0.56436,0.62333,0.29633,1.83543,1.0341,1.0269,0.00344125,0.00344125,0.00344125
55,24031.3,1.88697,1.27362,0.92402,0.72773,0.57426,0.6244,0.29694,1.83153,1.03096,1.02445,0.0033175,0.0033175,0.0033175
56,24468.4,1.89729,1.25782,0.93227,0.71927,0.58345,0.62678,0.29792,1.82981,1.02144,1.02484,0.00319375,0.00319375,0.00319375
57,24905.2,1.86896,1.24455,0.93434,0.73424,0.56419,0.625,0.29954,1.825,1.01451,1.0244,0.00307,0.00307,0.00307
58,25342.1,1.82804,1.20052,0.91297,0.74297,0.56683,0.63013,0.29817,1.82459,1.01325,1.0233,0.00294625,0.00294625,0.00294625
59,25778.9,1.83178,1.21362,0.90714,0.73524,0.58084,0.63093,0.29926,1.82355,1.00867,1.02243,0.0028225,0.0028225,0.0028225
60,26216.5,1.88693,1.2416,0.93492,0.72807,0.58319,0.63108,0.29817,1.82135,1.00786,1.02187,0.00269875,0.00269875,0.00269875
61,26653.5,1.81643,1.20588,0.90913,0.73052,0.58377,0.63282,0.30048,1.81601,1.00683,1.02134,0.002575,0.002575,0.002575
62,27090.5,1.83053,1.16642,0.92578,0.72176,0.58108,0.63295,0.30162,1.81301,1.00575,1.02037,0.00245125,0.00245125,0.00245125
63,27527.4,1.80378,1.19104,0.90832,0.71983,0.59144,0.63278,0.30032,1.80741,1.00305,1.01951,0.0023275,0.0023275,0.0023275
64,27964.9,1.81389,1.18302,0.91472,0.74912,0.5765,0.63472,0.30102,1.80648,1.00055,1.01909,0.00220375,0.00220375,0.00220375
65,28402.4,1.79186,1.16778,0.90919,0.74861,0.57426,0.63577,0.30288,1.80305,0.99747,1.01838,0.00208,0.00208,0.00208
66,28839.4,1.78938,1.16528,0.90669,0.73989,0.57921,0.63812,0.30386,1.8002,0.99388,1.01787,0.00195625,0.00195625,0.00195625
67,29276.2,1.8041,1.16344,0.91393,0.74305,0.57178,0.63449,0.3037,1.79874,0.99188,1.01746,0.0018325,0.0018325,0.0018325
68,29712.8,1.82356,1.15216,0.91833,0.75626,0.56931,0.63558,0.30311,1.79725,0.98856,1.01734,0.00170875,0.00170875,0.00170875
69,30149.6,1.80952,1.15803,0.91242,0.75377,0.57426,0.63655,0.30476,1.79586,0.98616,1.01678,0.001585,0.001585,0.001585
70,30586.5,1.75873,1.14095,0.89621,0.75763,0.57426,0.63802,0.30489,1.79326,0.98433,1.01552,0.00146125,0.00146125,0.00146125
71,31022.9,1.69162,1.08573,0.87258,0.76359,0.57673,0.64183,0.30507,1.7881,0.98316,1.01403,0.0013375,0.0013375,0.0013375
72,31458.2,1.68752,1.09384,0.87734,0.77089,0.57178,0.64232,0.30609,1.78544,0.98168,1.01311,0.00121375,0.00121375,0.00121375
73,31893.6,1.69341,1.09077,0.88125,0.77683,0.56807,0.64151,0.30558,1.78475,0.97991,1.01243,0.00109,0.00109,0.00109
74,32329.5,1.66201,1.02905,0.86227,0.78022,0.56931,0.64363,0.30626,1.7841,0.97879,1.01204,0.00096625,0.00096625,0.00096625
75,32764.9,1.69098,1.0647,0.87191,0.7797,0.56943,0.64458,0.30603,1.78406,0.97872,1.01163,0.0008425,0.0008425,0.0008425
76,33199.5,1.65303,1.03097,0.87085,0.77576,0.56943,0.64403,0.30592,1.78331,0.97786,1.01107,0.00071875,0.00071875,0.00071875
77,33635.1,1.63707,1.03172,0.85744,0.77596,0.57011,0.6438,0.30654,1.78234,0.97674,1.01052,0.000595,0.000595,0.000595
78,34070.6,1.61147,1.00507,0.8527,0.77633,0.57131,0.64381,0.30651,1.78214,0.97582,1.01022,0.00047125,0.00047125,0.00047125
79,34506.8,1.64401,1.00028,0.86798,0.76317,0.57302,0.64373,0.30635,1.78243,0.97494,1.01,0.0003475,0.0003475,0.0003475
80,34942.2,1.59249,0.9767,0.84773,0.76941,0.57054,0.64406,0.30624,1.78206,0.97401,1.00969,0.00022375,0.00022375,0.00022375
