epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,41010.1,1.4702,0.98654,0.67567,0.69552,0.54563,0.58309,0.27249,1.68115,1.06148,0.87569,0.005842,0.005842,0.005842
44,42792.1,1.45809,0.97629,0.66364,0.73952,0.53056,0.58831,0.27587,1.67083,1.06832,0.8724,0.005743,0.005743,0.005743
45,44574.8,1.45999,0.97969,0.66846,0.72053,0.5396,0.58661,0.27401,1.66943,1.06079,0.87269,0.005644,0.005644,0.005644
46,46358.3,1.4825,0.98473,0.68522,0.7444,0.53218,0.58619,0.27522,1.66626,1.05888,0.87024,0.005545,0.005545,0.005545
47,48141.8,1.46752,0.97043,0.68015,0.73289,0.53218,0.58616,0.27636,1.66206,1.05366,0.87007,0.005446,0.005446,0.005446
48,50044.6,1.48443,0.99376,0.68548,0.72741,0.53831,0.59205,0.27697,1.66655,1.06427,0.8713,0.005347,0.005347,0.005347
49,1773.41,1.42436,0.92482,0.66596,0.72491,0.54579,0.59134,0.28031,1.64686,1.05163,0.86586,0.005248,0.005248,0.005248
50,3557.75,1.43887,0.95151,0.67043,0.73482,0.55215,0.59416,0.28161,1.64368,1.04478,0.86325,0.005149,0.005149,0.005149
51,5337.81,1.43002,0.92722,0.67375,0.73485,0.55222,0.5934,0.28279,1.64273,1.04365,0.86409,0.00505,0.00505,0.00505
52,7117.16,1.46175,0.9437,0.68624,0.74292,0.55322,0.59571,0.28237,1.64394,1.02717,0.86442,0.004951,0.004951,0.004951
53,8897.23,1.43355,0.95,0.67935,0.72029,0.55817,0.59594,0.28258,1.6404,1.02045,0.86264,0.004852,0.004852,0.004852
54,10675.5,1.41982,0.92526,0.67137,0.75041,0.54699,0.59846,0.28497,1.63666,1.02167,0.86077,0.004753,0.004753,0.004753
55,12453.9,1.40224,0.903,0.66948,0.73548,0.5495,0.59764,0.28754,1.63284,1.0183,0.85977,0.004654,0.004654,0.004654
56,14232.3,1.41687,0.89506,0.67125,0.74838,0.53837,0.59621,0.28731,1.63304,1.01704,0.85874,0.004555,0.004555,0.004555
57,16012.1,1.42135,0.89937,0.66902,0.75279,0.53516,0.59592,0.28647,1.63082,1.01496,0.85638,0.004456,0.004456,0.004456
58,17789.9,1.40427,0.91076,0.66686,0.74747,0.54084,0.59971,0.28823,1.63092,1.01016,0.85479,0.004357,0.004357,0.004357
59,19564.6,1.40069,0.86853,0.66917,0.74995,0.53837,0.60053,0.28881,1.63053,1.0058,0.85463,0.004258,0.004258,0.004258
60,21341.3,1.40879,0.8943,0.67477,0.7596,0.53589,0.60415,0.2901,1.62933,1.00266,0.85408,0.004159,0.004159,0.004159
61,23110.4,1.36915,0.87009,0.6622,0.75479,0.54477,0.6026,0.29038,1.62706,0.99782,0.85322,0.00406,0.00406,0.00406
62,24881.4,1.3743,0.86192,0.66608,0.75573,0.53837,0.60427,0.28981,1.6242,0.99477,0.85204,0.003961,0.003961,0.003961
63,26658.7,1.43972,0.91052,0.67981,0.7524,0.5378,0.60124,0.28933,1.62237,0.99344,0.85103,0.003862,0.003862,0.003862
64,28432.4,1.39039,0.87116,0.66481,0.75971,0.54388,0.60676,0.29025,1.62038,0.99094,0.84998,0.003763,0.003763,0.003763
65,30208.8,1.3943,0.86099,0.6658,0.76099,0.54774,0.61017,0.29103,1.61745,0.98906,0.84919,0.003664,0.003664,0.003664
66,31988.9,1.37498,0.84224,0.66421,0.765,0.55198,0.61291,0.29121,1.61543,0.98694,0.84849,0.003565,0.003565,0.003565
67,33771.1,1.36649,0.84875,0.66504,0.75514,0.56108,0.61331,0.2924,1.61246,0.98475,0.84766,0.003466,0.003466,0.003466
68,35553.3,1.35006,0.82065,0.65943,0.75702,0.56188,0.61404,0.29418,1.61036,0.98281,0.84712,0.003367,0.003367,0.003367
69,37337.1,1.35358,0.82196,0.65601,0.7589,0.56487,0.61437,0.2955,1.60868,0.98057,0.8467,0.003268,0.003268,0.003268
70,39120.7,1.37044,0.84669,0.65271,0.76173,0.56436,0.61581,0.29642,1.60749,0.97814,0.84622,0.003169,0.003169,0.003169
71,40904.6,1.32173,0.82047,0.64764,0.76423,0.56312,0.61752,0.29746,1.60666,0.97581,0.84585,0.00307,0.00307,0.00307
72,1770.31,1.29054,0.77276,0.63831,0.76966,0.56064,0.61823,0.29763,1.60647,0.97527,0.84584,0.002971,0.002971,0.002971
73,3548.86,1.30951,0.80005,0.64554,0.764,0.55941,0.61548,0.29728,1.60574,0.97446,0.8457,0.002872,0.002872,0.002872
74,5327.68,1.29777,0.783,0.64644,0.76993,0.555,0.61593,0.29738,1.60555,0.97362,0.84571,0.002773,0.002773,0.002773
75,7106.58,1.32222,0.79053,0.65753,0.76862,0.55446,0.61534,0.29706,1.60522,0.97157,0.84559,0.002674,0.002674,0.002674
76,8885.14,1.30522,0.79798,0.65346,0.76985,0.55569,0.61559,0.29679,1.60498,0.97033,0.84546,0.002575,0.002575,0.002575
77,10662.6,1.28513,0.7697,0.64512,0.77111,0.55453,0.61593,0.29728,1.6048,0.96953,0.8454,0.002476,0.002476,0.002476
78,12441.3,1.26911,0.7562,0.64474,0.76967,0.55418,0.61371,0.29698,1.60473,0.96825,0.84544,0.002377,0.002377,0.002377
79,14218.8,1.27466,0.75211,0.64456,0.77094,0.55401,0.61449,0.29754,1.60442,0.96748,0.84528,0.002278,0.002278,0.002278
80,15995.5,1.27741,0.74767,0.64233,0.77192,0.55289,0.61675,0.29885,1.6044,0.96622,0.84514,0.002179,0.002179,0.002179
81,17774,1.27391,0.7659,0.64044,0.77586,0.55198,0.61818,0.29902,1.60399,0.96478,0.84505,0.00208,0.00208,0.00208
82,19550.9,1.26212,0.74252,0.64287,0.77697,0.55322,0.6205,0.29973,1.60353,0.96316,0.84504,0.001981,0.001981,0.001981
83,21326.5,1.27343,0.75053,0.64877,0.77808,0.55544,0.6209,0.30002,1.603,0.96204,0.84497,0.001882,0.001882,0.001882
84,23104.7,1.24006,0.73699,0.6377,0.774,0.55526,0.61924,0.30012,1.60238,0.96083,0.84488,0.001783,0.001783,0.001783
85,24883.8,1.2482,0.72509,0.64162,0.77354,0.55446,0.61888,0.29988,1.60153,0.95928,0.84467,0.001684,0.001684,0.001684
86,26664.7,1.30792,0.77788,0.65603,0.7765,0.55569,0.61984,0.30035,1.60099,0.95805,0.84453,0.001585,0.001585,0.001585
87,28446.6,1.2698,0.73818,0.64142,0.77963,0.55607,0.62062,0.3002,1.60066,0.95712,0.84437,0.001486,0.001486,0.001486
88,1764.83,1.19477,0.70244,0.6252,0.77971,0.55632,0.6204,0.30034,1.60118,0.957,0.84458,0.001387,0.001387,0.001387
89,3540.33,1.21736,0.71822,0.63129,0.77989,0.55691,0.61946,0.30014,1.60141,0.95663,0.84468,0.001288,0.001288,0.001288
90,5315.21,1.21128,0.711,0.63091,0.77888,0.55569,0.62023,0.30069,1.60142,0.95655,0.8447,0.001189,0.001189,0.001189
91,7087.42,1.20558,0.73018,0.60397,0.77686,0.55693,0.61835,0.3005,1.60215,0.95613,0.84488,0.00109,0.00109,0.00109
92,8866.91,1.18666,0.70444,0.6016,0.77639,0.55693,0.61851,0.30062,1.6022,0.95545,0.84483,0.000991,0.000991,0.000991
93,10646.6,1.16601,0.69204,0.59212,0.77569,0.55639,0.61877,0.30087,1.60219,0.95491,0.8448,0.000892,0.000892,0.000892
94,12419.3,1.17153,0.68609,0.59377,0.77699,0.55626,0.6189,0.30104,1.60188,0.95427,0.84475,0.000793,0.000793,0.000793
95,14191.5,1.16636,0.6856,0.59244,0.77638,0.55817,0.61938,0.30078,1.60159,0.95359,0.84469,0.000694,0.000694,0.000694
96,15963,1.13536,0.6677,0.58754,0.77328,0.55941,0.61964,0.30085,1.60122,0.95279,0.84459,0.000595,0.000595,0.000595
97,17734.7,1.13985,0.65986,0.58978,0.77252,0.55817,0.61988,0.30101,1.60109,0.95147,0.8447,0.000496,0.000496,0.000496
98,19506,1.14486,0.65444,0.59174,0.76798,0.56532,0.62255,0.30204,1.60085,0.95054,0.84461,0.000397,0.000397,0.000397
99,21277.4,1.11422,0.63927,0.57465,0.76876,0.56559,0.62236,0.30131,1.60065,0.94968,0.84452,0.000298,0.000298,0.000298
100,23051.8,1.13374,0.6553,0.58349,0.76807,0.56559,0.62355,0.30199,1.60034,0.94903,0.84439,0.000199,0.000199,0.000199
1,1789.53,1.61629,1.97745,0.71741,0.47952,0.34777,0.33612,0.12554,2.02486,1.85187,0.97474,0.0700083,0.00333241,0.00333241
2,3568.29,1.74733,1.53376,0.75221,0.47559,0.29208,0.30363,0.11326,2.08871,1.84853,1.03855,0.0399423,0.00659975,0.00659975
3,5352.13,1.77907,1.57508,0.78064,0.35886,0.30569,0.27078,0.10169,2.23284,1.83389,1.11689,0.00981035,0.00980109,0.00980109
