epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,12442.6,1.14446,0.73684,1.02151,0.7801,0.28512,0.33201,0.22075,0.87116,1.24174,0.62939,0.006832,0.006832,0.006832
34,12854.3,1.14165,0.74189,1.02178,0.78055,0.28512,0.33179,0.22084,0.87058,1.23089,0.62903,0.006733,0.006733,0.006733
35,13264.9,1.1431,0.72907,1.02123,0.77941,0.28555,0.33231,0.221,0.87035,1.22302,0.62895,0.006634,0.006634,0.006634
36,13677.8,1.13752,0.72585,1.02274,0.78487,0.28536,0.33215,0.22107,0.87031,1.21533,0.62886,0.006535,0.006535,0.006535
37,14089.3,1.14277,0.73523,1.023,0.78496,0.28584,0.33179,0.22091,0.87173,1.21455,0.62905,0.006436,0.006436,0.006436
38,14500.6,1.13535,0.7193,1.02273,0.79207,0.28483,0.33233,0.22095,0.87206,1.20888,0.62905,0.006337,0.006337,0.006337
39,14912.2,1.13373,0.72793,1.0209,0.79484,0.28397,0.33204,0.22113,0.87326,1.20436,0.62926,0.006238,0.006238,0.006238
40,15326.8,1.1222,0.71082,1.01878,0.79415,0.28397,0.33214,0.22113,0.8741,1.19558,0.62928,0.006139,0.006139,0.006139
41,15739.2,1.13331,0.7145,1.01984,0.79389,0.28426,0.33236,0.22116,0.87516,1.18836,0.62912,0.00604,0.00604,0.00604
42,16152.2,1.12046,0.71699,1.01711,0.79195,0.28512,0.33278,0.22126,0.87522,1.18819,0.62893,0.005941,0.005941,0.005941
43,16563.7,1.12165,0.71569,1.01744,0.79942,0.28483,0.33313,0.22114,0.87547,1.18303,0.62899,0.005842,0.005842,0.005842
44,16976.6,1.12279,0.71545,1.0117,0.79546,0.28462,0.33308,0.22116,0.87568,1.17853,0.62887,0.005743,0.005743,0.005743
