epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,23047.2,1.16893,0.89409,1.14337,0.80548,0.28196,0.34012,0.22652,0.91653,1.24858,0.74197,0.006535,0.006535,0.006535
44,24439.9,1.15745,0.8792,1.13556,0.78679,0.28296,0.33818,0.22439,0.92527,1.26089,0.74589,0.0064525,0.0064525,0.0064525
45,25830.7,1.16113,0.88528,1.14217,0.79444,0.28426,0.34006,0.22475,0.92587,1.27863,0.74715,0.00637,0.00637,0.00637
46,27226,1.16244,0.8739,1.14167,0.79377,0.28598,0.34197,0.22595,0.92515,1.29632,0.74801,0.0062875,0.0062875,0.0062875
47,28620.3,1.15496,0.87478,1.13464,0.7954,0.28598,0.34265,0.22603,0.92637,1.30678,0.74865,0.006205,0.006205,0.006205
48,1397.7,1.14934,0.87382,1.13702,0.78589,0.29015,0.34442,0.22733,0.92359,1.32532,0.74818,0.0061225,0.0061225,0.0061225
49,2818.76,1.15484,0.8779,1.13451,0.78666,0.29087,0.34569,0.22833,0.92235,1.33793,0.74809,0.00604,0.00604,0.00604
50,4213.86,1.16383,0.88691,1.13953,0.78936,0.29145,0.34633,0.22909,0.9221,1.34985,0.74794,0.0059575,0.0059575,0.0059575
51,1382.82,1.13221,0.85402,1.12926,0.79133,0.29216,0.34772,0.22993,0.92067,1.3607,0.7481,0.005875,0.005875,0.005875
52,2768.18,1.1472,0.8649,1.12872,0.80521,0.29216,0.34894,0.2306,0.91937,1.36728,0.74714,0.0057925,0.0057925,0.0057925
53,4154.59,1.15769,0.87908,1.13593,0.8057,0.29202,0.34903,0.2308,0.91899,1.36217,0.74637,0.00571,0.00571,0.00571
54,5566.21,1.15017,0.86702,1.13406,0.8086,0.29231,0.34919,0.2309,0.91807,1.36148,0.7463,0.0056275,0.0056275,0.0056275
